Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number
Still Life,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-218431/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/WMRII/FWF/WMRII_FWF_PCF26-001.jpg,oil on canvas,49.5,54.5,FWAF_RF28
Boy Reading,Samuel John Peploe,c.1921,1921,https://artuk.org/discover/artworks/boy-reading-186669/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDII/RSA/EDII_RSA_1995_032-001.jpg,oil on canvas,76.3,64.0,1995.032
A Still Life of Roses,Samuel John Peploe,c.1931,1931,https://artuk.org/discover/artworks/a-still-life-of-roses-129432/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/PKA/PKC/PKA_PKC_2_181A-001.jpg,oil on canvas,45.7,40.6,2_181A
Chops,Samuel John Peploe,1925–1930,1928,https://artuk.org/discover/artworks/chops-107558/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010713-001.jpg,oil on canvas,45.3,40.5,ABDAG010713
"Cathedral Rock, Iona",Samuel John Peploe,1920,1920,https://artuk.org/discover/artworks/cathedral-rock-iona-107564/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010719-001.jpg,oil on board,38.2,45.6,ABDAG010719
Jeannie Blyth,Samuel John Peploe,c.1905,1905,https://artuk.org/discover/artworks/jeannie-blyth-107571/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag004091-001.jpg,oil on canvas,61.1,51.0,ABDAG004091
Boy Reading (The Artist's Son),Samuel John Peploe,c.1903,1903,https://artuk.org/discover/artworks/boy-reading-the-artists-son-107550/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/ABD/AAG/ABD_AAG_ag010705-001.jpg,oil on canvas,50.7,40.8,ABDAG010705
Still Life,Samuel John Peploe,,,https://artuk.org/discover/artworks/still-life-93691/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/EDI/CITY/EDI_CITY_CAC_4_1964-001.jpg,oil on panel,26.7,34.8,CAC4_1964
Still Life,Samuel John Peploe,c.1906–1907,1906,https://artuk.org/discover/artworks/still-life-4703/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CAM/CCF/CAM_CCF_700-001.jpg,oil on panel,24.4,34.9,700
Summer New Abbey,Samuel John Peploe,,,https://artuk.org/discover/artworks/summer-new-abbey-124851/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_572-001.jpg,oil on canvas,43.7,52.0,KIRMG_572
Wind,Samuel John Peploe,1910,1910,https://artuk.org/discover/artworks/wind-124868/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_327-001.jpg,oil on panel,18.5,24.0,KIRMG_327
Iona Landscape,Samuel John Peploe,,,https://artuk.org/discover/artworks/iona-landscape-124880/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_188-001.jpg,oil on panel,36.5,44.0,KIRMG_188
Roses,Samuel John Peploe,,,https://artuk.org/discover/artworks/roses-124853/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_13-001.jpg,oil on canvas,46.0,41.0,KIRMG_13
Blue and White Teapot,Samuel John Peploe,1917,1917,https://artuk.org/discover/artworks/blue-and-white-teapot-124873/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_300-001.jpg,oil on canvas,48.0,57.5,KIRMG_300
"Luxembourg Gardens, Paris",Samuel John Peploe,,,https://artuk.org/discover/artworks/luxembourg-gardens-paris-197486/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NTS/HDUN/NTS_CZN_99_122.jpg,oil on canvas,,,99.121
"Still Life with a Bowl of Fruit, Bottle, Cup and Glass",Samuel John Peploe,1927–1929,1928,https://artuk.org/discover/artworks/still-life-with-a-bowl-of-fruit-bottle-cup-and-glass-33934/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/BRM/BMAG/BRM_BMAG_1948P34-001.jpg,oil on canvas,48.9,54.6,1978L10
